predicate_name,name,symbol,is_symbolic,is_error,is_group,doc_error,error_message
is_at_least_n,is_at_least_n,,False,False,True,False,False,The predicate must be True for at least n values or more
is-exactly?,is_exactly,,False,False,True,False,False,The predicate must be True for at exactly n values
is_exactly,is_exactly,,False,False,True,False,False,The predicate must be True for at exactly n values
lone?,lone,,False,False,True,False,False,The predicate must be True for 0 or 1 predicate
lone,lone,,False,False,True,False,False,The predicate must be True for 0 or 1 predicate
is-empty?,empty,,False,False,True,False,False,The sequence must be empty
empty?,empty,,False,False,True,False,False,The sequence must be empty
empty,empty,,False,False,True,False,False,The sequence must be empty
not-empty?,not_empty,,False,False,True,False,False,The sequence must contain more than one element
not_empty,not_empty,,False,False,True,False,False,The sequence must contain more than one element
sorted?,is_sorted,,False,False,False,False,False,Tests i≤j for all values in sequence
sorted≤?,is_sorted,,False,False,False,False,False,Tests i≤j for all values in sequence
sorted<=?,is_sorted,,False,False,False,False,False,Tests i≤j for all values in sequence
is_sorted,is_sorted,,False,False,False,False,False,Tests i≤j for all values in sequence
sorted<?,is_strictly_sorted,,False,False,False,False,False,Tests i<j for all values in sequence
sorted-strict?,is_strictly_sorted,,False,False,False,False,False,Tests i<j for all values in sequence
is_strictly_sorted,is_strictly_sorted,,False,False,False,False,False,Tests i<j for all values in sequence
descending?,descending,,False,False,False,False,False,"Tests for decending order, ie 100, 99, 98, …, where i >= j"
descending,descending,,False,False,False,False,False,"Tests for decending order, ie 100, 99, 98, …, where i >= j"
ascending?,ascending,,False,False,False,False,False,"Tests for ascending order, ie 1, 2, 3 …, where i <= j"
ascending,ascending,,False,False,False,False,False,"Tests for ascending order, ie 1, 2, 3 …, where i <= j"
all-unique?,all_unique,,False,False,False,False,False,Tests that a sequence only contains unique values
all_unique,all_unique,,False,False,False,False,False,Tests that a sequence only contains unique values
